,,,,,
,,,,,
Accomodations,,,,,
Name ,Web,Instagram,Pictures,,Contact/info
Esquilino area,,,,,
Hotel Mediterraneo,https://www.bettojahotels.it/,,https://drive.google.com/file/d/1SyGpx0Y5IAOmbVVypVEhctE3jCnc36ly/view?usp=drive_link,,Irene Lodigiani: +393343999567
Hotel Massimo d'Azeglio,https://www.bettojahotels.it/,,https://drive.google.com/file/d/1tApmCvJTq_hIAPbJ1PIlX1wMD764kMqi/view?usp=drive_link,https://drive.google.com/file/d/1eVjmL14fhOgk63mv2IXa51v30-kfWOul/view?usp=drive_link,Irene Lodigiani: +393343999567
Hotel Atlantico,https://www.bettojahotels.it/,,https://drive.google.com/file/d/1wfIXrcuW3cDT063zdpsXfeQdzaAucdek/view?usp=drive_link,https://drive.google.com/file/d/1n32T8h2QdBJMitP8-S-T68oqJoHLfddK/view?usp=drive_link,Irene Lodigiani: +393343999567
Hotel Nord Nuova Roma,https://www.hotelnordnuovaroma.it/,,https://drive.google.com/file/d/1NnXWIfBEiaEvguPWER9kqHBWQbZKoeTS/view?usp=drive_link,https://drive.google.com/file/d/1_R818uwK33byIM4g0W6m4cmUdrdm9z5T/view?usp=drive_link,
Modo Rooms & Suites,https://modo-rooms.bedsandhotels.com/,,https://drive.google.com/file/d/1B9XuCcg6MHOMrASHXNsZgpHEhkq6uuo6/view?usp=drive_link,,
Hotel Filippo Roma,http://www.hotelfilipporoma.it/,,https://drive.google.com/file/d/1AEsTt-ZK1qKIDMfz6c-7TjDD_07VJprJ/view?usp=drive_link,https://drive.google.com/file/d/11zpyvZCuV2xYENF4Fvs8sHhpmZGJ_6iz/view?usp=drive_link,
Hotel Flavio,https://www.hotelflavio.it/,,https://drive.google.com/file/d/1-PatTTNfvxsllrv4RyDx3Wpmr4M2b61v/view?usp=drive_link,https://drive.google.com/file/d/1DNvFrRva5nU-IoYoxBbXW25cI205rEJ3/view?usp=drive_link,
B&B Hotel Roma Italia Viminale,https://www.hotelviminalerome.com,,https://drive.google.com/file/d/17mxyEcTv94lRPjgjCaf6sh_Niim89CCC/view?usp=drive_link,https://drive.google.com/file/d/1AVu1Faxeg7oePYIvNpDVybJqDjO-Yi6x/view?usp=drive_link,
Hotel Napoleon,https://www.napoleon.it/,,https://drive.google.com/file/d/1nhyyK68YL9iuwaysm_xot4Jutr7bfayq/view?usp=drive_link,https://drive.google.com/file/d/1CkrD92eR-2w8bmCIVNEPS464JIq0UKph/view?usp=drive_link,
City Center/Piazza di Spagna area,,,,,
Palazzo Talia (Boutique Hotel Studio Sorrentino),https://www.palazzotalia.com/it/,,https://drive.google.com/file/d/1xXsGCWhJLRfPp-eI2xv7xk0qbe5aV4cl/view?usp=drive_link,https://drive.google.com/file/d/1GBGmuyMgxReB8DdyH359iFxB9AvdkYgI/view?usp=drive_link,
San Lorenzo area,,,,,
Soho House Rome,https://www.sohohouse.com/it/houses/soho-house-rome,,https://drive.google.com/file/d/1gYlXStQMRGbJPeTHSRzWYkzsp56bssat/view?usp=drive_link,https://drive.google.com/file/d/10klp_fUOGAiJQuLfVjPyB6xq-Z7qMCU2/view?usp=drive_link,
Private Apartments,,,,,
Throughout the city,?,,,,Carlotta: +393404866486
Appartamento Mola/Castel Sant'Angelo,?,,,,Angelica at +393396346953
Food & Drink,,,,,
Name ,Web,Instagram,Ç,,Contact/info
Esquilino area,,,,,
Forno Conti & Co.,,https://www.instagram.com/fornoconti.roma/,https://drive.google.com/file/d/1CtV1ctCtM1lKpzjDPiuTAg-4mD6nXDKE/view?usp=drive_link,https://drive.google.com/file/d/140Xn9l3Paplrw44NMe_DMEldyMGmMz63/view?usp=drive_link,
"Casa Dante (all-day hangout: breakfast, lunch, aperitivo)",,https://www.instagram.com/casadanteroma,https://drive.google.com/file/d/1KIVpGLIaobN1RPKP0HZIBI2p4nd8q654/view?usp=drive_link,,
Salotto Caronte,,https://www.instagram.com/salottocaronte/,https://drive.google.com/file/d/1yUkj93fql8ACX-Lg5a1slOWVT-mRMTzp/view?usp=drive_link,,
