Day ,Time ,Ind price ,Theme ,Location ,Teacher(s),,,
,,,,,,limited to 100 mats ,,
Thursday ,12:00-15:00,108,Teacher's Workshop: JY Sequencing,Acquario,Sharon ,,,
Thursday ,16:00-17:30,0,Opening Class 90',Aquario ,Jules and Rima,,,
Thursday ,17:30-19:00,,Faculty get-together with food ,Acquario Cafe,,,,
Thursday ,20:30-22:30,0,Concert,Brancaccio ,Deva Premal and Miten,,,
,,,,,,,,
Day ,Time ,,Theme ,Location ,Teacher(s),Facilitators ,Mentors ,Guests 
Friday ,09:30-10:15,19,Pranayama and Meditation 45',Aquario ,Olga ,Yogeswari,Andrea K ,Joshua
Friday ,10:15-11:00,19,Lecture 45',Aquario ,Rima,Jules,Anna Lunegova,DPM
Friday ,11:15-12:45,0,Asana practice  90',Aquario ,Yogeswari and Jutta,Sharon,Magali,Jamie
,,,,,,RIma,Juan ,
Friday ,12:45-14:00,,Lunch break ,,no class,Olga,Dana,
Friday ,14:00-15:15,29,Lecture 75',Aquario ,Joshua,HaChi,Jutta ,
Friday ,15:30-17:00,0,Workshop Asana 90',Aquario ,Juan and Dana,,,
Friday ,17:15-18:30,0,Restore and Renew 75',Aquario ,Andrea K and Magali,,,
Friday ,18:45-20:00,0,Open Class 75',Aquario ,Olga and Anna,,,
Friday ,,,Dinner break ,Aquario ,,,,
Friday ,20:30-21:30,39,Satsang 60,Aquario ,Padma,,,
,,,,,,,,
Day ,Time ,,Theme ,Location ,Teacher(s),,,
Saturday ,09:00-09:30,19,Pranayama and Meditation 30',Aquario ,Anna and Magali,,,
Saturday ,09:30-10:00,19,Lecture 30',Aquario ,Yogeswari,,,
Saturday ,10:15-11:45,0,Asana Class 90',Aquario ,HaChi and Juan ,,,
Saturday ,12:00-12:45,0,Animal Rights Discussion 30-45',Aquario ,Jamie and Sharon ,,,
Saturday ,12:45-14:00,,Lunch break ,Aquario ,no class ,,,
Saturday ,14:00-15:30,39,Lecture and teachers mixer  90',Aquario ,Jules and Joshua,,,
Saturday ,16:30-18:00,0,Workshop Asana 90',Aquario ,"Andrea K, Olga, HaChi",,,
Saturday ,,,,Aquario ,,,,
Saturday ,19:00-22:00,0,Fashion Show and Dinner at location ,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Day ,Time ,,Theme ,Location ,Teacher(s),,,
Sunday,10:00-10:45,19,Pranayama and Mediation 45',,Sharon ,,,
Sunday,10:45-11:15,19,Lecture 30',,Sharon ,,,
Sunday,11:30-13:00,0,Asana Class 90' and Closing ,,Sharon joined by all,,,
,,,,,,,,
,,,Cont Ed Workshop ,,,,,
,,,,,,,,
,,,,,,,,
Monday ,,,Directors Meeting,,,,,
,,,,,,,,
,,,Board in afternoon,,,,,
,,,,,,,,
Tuesday,,,Board ,,,,,
Wednesday,,,Review Board,,,,,
,,,,,,,,
,,221,,,,,,
,,,,,,,,
,,,,,,,,
Day Pass Thursday ,79,,,,,,,
Day Pass Friday ,180,,,,,,,
Day Pass Saturday ,180,,,,,,,
Day Pass Sunday ,90,,,,,,,
,529,,,,,,,
,,,,,,,,
,,,,,,,,
2025,Price in €,,,,,,,
,,,,,,,,
Early Bird,400,,,,,,,
Regular ,500,,,,,,,
,,,,,,,,
Early Bird 75hr ,350,,,,,,,
Regular 75hr,450,,,,,,,
,,,,,,,,
Early Bird 300hr ,300,,,,,,,
Regular 300hr,350,,,,,,,
